          397         101
   0.2424400       5.000000       6514562.       20000.00    
   0.9999800      0.9999740      0.9999743      0.9999676      0.9999676    
   0.9999679      0.9999679      0.9999745      0.9999738      0.9999795    
   0.9999848      0.9999930       1.000004       1.000014       1.000031    
    1.000051       1.000068       1.000107       1.000131       1.000191    
    1.000235       1.000316       1.000389       1.000502       1.000625    
    1.000783       1.001005       1.001175       1.001230       1.000982    
    1.000464      0.9997246      0.9987879      0.9977061      0.9964947    
   0.9951398      0.9937285      0.9923097      0.9909012      0.9894531    
   0.9878668      0.9859340      0.9831662      0.9792008      0.9675080    
   0.9638732      0.9643623      0.9644157      0.9639677      0.9635674    
   0.9631736      0.9628263      0.9625120      0.9622253      0.9619591    
   0.9617019      0.9614521      0.9612175      0.9609966      0.9607864    
   0.9605880      0.9603972      0.9602076      0.9600243      0.9598541    
   0.9596890      0.9595241      0.9593676      0.9592222      0.9590831    
   0.9589494      0.9588194      0.9586961      0.9585810      0.9584746    
   0.9583738      0.9582734      0.9581795      0.9580927      0.9580048    
   0.9579220      0.9578544      0.9577842      0.9577076      0.9576375    
   0.9575729      0.9575125      0.9574558      0.9573999      0.9573412    
   0.9572875      0.9572458      0.9572027      0.9571549      0.9570976    
   0.9570531      0.9570377      0.9570194      0.9569832      0.9569137    
   0.9568460      0.9568120      0.9568074      0.9568182      0.9567952    
   0.9567602      0.9567290      0.9566876      0.9566418      0.9565883    
   0.9565572      0.9565706      0.9565940      0.9566074      0.9566000    
   0.9565684      0.9565278      0.9565082      0.9565757      0.9566017    
   0.9566509      0.9567261      0.9568455      0.9569790      0.9572393    
   0.9575430      0.9575579      0.9574419      0.9578459      0.9581493    
   0.9581698      0.9580887      0.9583194      0.9588277      0.9595875    
   0.9598234      0.9597832      0.9601288      0.9606619      0.9613590    
   0.9621747      0.9629565      0.9634644      0.9636643      0.9645110    
   0.9654953      0.9659177      0.9664356      0.9672830      0.9680068    
   0.9686774      0.9694436      0.9701617      0.9709684      0.9717020    
   0.9723678      0.9731626      0.9737794      0.9743936      0.9750943    
   0.9757754      0.9765544      0.9774447      0.9784092      0.9794162    
   0.9804256      0.9817342      0.9833314      0.9849365      0.9864872    
   0.9880043      0.9894826      0.9909424      0.9923598      0.9937879    
   0.9952160      0.9965847      0.9978651      0.9991311       1.000360    
    1.001393       1.002175       1.002702       1.002991       1.002921    
    1.002676       1.002161       1.001392       1.000385      0.9990819    
   0.9973050      0.9951788      0.9931136      0.9907240      0.9879022    
   0.9846451      0.9809878      0.9775071      0.9742111      0.9705645    
   0.9667007      0.9631571      0.9597770      0.9562851      0.9527696    
   0.9493483      0.9460178      0.9427438      0.9392658      0.9365004    
   0.9348244      0.9335078      0.9323779      0.9314979      0.9306288    
